amrs_concept_id,kenyaemr_concept_uuid
1075,1075AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1088,1088AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1090,1090AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1091,1091AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1092,1092AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1093,1093AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1094,1094AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1097,1097AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1098,1098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1099,1099AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1100,1100AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1107,1107AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1108,1108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1109,1109AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1111,1111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1113,1113AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1115,1115AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1116,1116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1118,1118AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1119,162737AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1120,1120AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1123,1123AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1124,1124AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1125,1125AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1126,1126AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1128,1128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1129,752132fb-235c-45cd-8914-854c388e358f
1131,1131AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1133,1133AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1136,114108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1137,1137AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1138,1138AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1141,1141AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1142,1142AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1148,1148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1149,1149AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1151,1151AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1167,1167AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1169,138571AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1170,1170AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1171,1171AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1172,1172AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1174,1174AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1175,1175AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1185,1185AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1189,1189AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1193,1193AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1194,1194AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1198,1198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1204,1204AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1205,1205AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1206,1206AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1207,1207AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1210,1210AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1212,1212AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1215,1215AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1218,127847AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1220,1220AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1221,1221AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1222,1222AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1223,1223AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1228,1228AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1229,1229AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1230,1230AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1231,1231AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1246,1246AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1249,1249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
