amrs_concept_id,kenyaemr_concept_uuid,Category
5333,5333AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5334,5334AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5337,5337AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5354,160851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5356,5356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5596,5596AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5616,5616AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5617,5617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5622,5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5624,5624AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5629,5629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5632,5632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5829,82900AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5945,140238AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5949,116334AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5953,5953AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5978,5978AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5980,122983AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5993,123396AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
5995,123529AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6006,120345AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6029,133027AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6034,133632AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6042,6042AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6048,167394AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6096,6096AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6098,6098AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6102,159836AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6103,159833AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6137,159392AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6159,71647AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6162,159802AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6171,159799AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6173,1494AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6174,159800AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6176,159798AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6219,159524AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6237,139071AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6259,112603AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6287,159777AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6343,159405AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6394,1650AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6467,1652AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6476,162306AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6477,80106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6497,141631AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,160581AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,
6578,bf850dd4-309b-4cbd-9470-9d8110ea5550,
